Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def_3rd_Tackles,Mid_3rd_Tackles,Att_3rd_Tackles,Tkl_challenges,Att_challenges,Tkl%_challenges,Lost_challenges,Blocks,Sh_blocked,Pass_blocked,Int,Tkl+Int,Clr,Err,Cmp,Att,Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA_x,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_Pen,games,time,goals,xG,assists,xA_y,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup,market_value_in_eur_y
Jay Idzes,id IDN,DF,Venezia,it Serie A,24,2000,34.7,45,29,24,17,4,17,33,51.5,16,52,32,20,32,77,156,0,1457,1694,86.0,26675,9202,508,560,90.7,840,918,91.5,91,168,54.2,0,0.7,0.4,-0.7,8,65,4,1,84,24,0.69,18,3,0,2,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,3130.0,1,2.105722848325968,0.0,1.5452221520245075,16.0,8.0,5.0,0.0,1.0,2.105722848325968,5.570156503468752,4.609417419880629,550000
Borja Iglesias,es ESP,FW,Celta Vigo,es La Liga,31,1993,21.7,10,9,2,5,3,4,15,26.7,11,9,2,7,7,17,10,0,346,489,70.8,4981,820,196,251,78.1,104,133,78.2,20,32,62.5,3,3.2,1.4,-0.2,18,20,9,0,28,36,1.66,25,1,0,5,5,0,7,0.32,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,1968.0,11,11.553197539411483,3.0,3.1776098990812898,46.0,18.0,2.0,0.0,11.0,11.553197539411483,16.69970811251551,3.1693250574171543,10000000
Kelechi Iheanacho,ng NGA,FW,Sevilla,es La Liga,27,1996,4.4,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,1,0,60,80,75.0,831,125,36,44,81.8,15,25,60.0,4,5,80.0,0,0.3,0.2,-0.3,5,1,1,0,5,12,2.70,8,0,1,3,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,401.0,0,1.0177823081612587,0.0,0.2138137891888618,9.0,5.0,0.0,0.0,0.0,1.0177823081612587,1.3642380880191922,0.1326419608667493,15000000
Andrej Ilic,rs SRB,FW,Union Berlin,de Bundesliga,24,2000,10.4,2,2,0,2,0,0,6,0.0,6,7,3,4,5,7,6,1,110,191,57.6,1223,314,72,104,69.2,24,52,46.2,1,5,20.0,0,0.3,0.2,-0.3,6,16,0,0,13,15,1.44,9,0,1,3,2,0,2,0.19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,954.0,7,5.666820885613561,0.0,0.3420870099216699,27.0,6.0,1.0,0.0,6.0,4.909044222906232,4.31884459964931,0.4574203137308359,850000
Samuel Iling-Junior,eng ENG,"FW,MF",Bologna,it Serie A,20,2003,1.3,3,2,1,1,1,0,1,0.0,1,1,0,1,2,5,2,0,62,87,71.3,1038,245,30,35,85.7,25,34,73.5,5,12,41.7,0,0.1,0.2,-0.1,1,4,3,1,7,7,5.29,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,98.0,1,0.1766015514731407,0.0,0.0679608359932899,4.0,1.0,0.0,0.0,1.0,0.1766015514731407,0.4406674802303314,0.2640659213066101,9500000
Danny Ings,eng ENG,"FW,MF",West Ham,eng Premier League,32,1992,3.2,4,2,2,2,0,1,3,33.3,2,5,0,5,1,5,4,0,63,92,68.5,830,126,41,49,83.7,19,29,65.5,1,5,20.0,2,1.3,0.1,+0.7,6,4,1,0,5,12,3.80,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,235.0,1,1.7657166114076972,2.0,1.154838539659977,14.0,6.0,0.0,0.0,1.0,1.7657166114076972,2.8344373060390358,0.2195451222360134,10000000
Alessio Iovine,it ITA,"DF,FW",Como,it Serie A,33,1991,4.3,5,2,2,3,0,4,10,40.0,6,7,1,6,3,8,21,1,170,226,75.2,3106,912,70,81,86.4,77,93,82.8,20,42,47.6,0,0.2,0.2,-0.2,3,7,3,3,6,5,1.16,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,373.0,0,0.0153612773865461,0.0,0.197709696367383,1.0,3.0,2.0,0.0,0.0,0.0153612773865461,0.7458569463342428,0.6428565289825201,250000
Tim Iroegbunam,eng ENG,MF,Everton,eng Premier League,21,2003,6.4,29,14,14,10,5,14,23,60.9,9,18,4,14,16,45,12,1,115,158,72.8,1921,621,54,73,74.0,42,50,84.0,14,20,70.0,1,0.2,0.1,+0.8,3,10,1,0,15,10,1.57,6,0,1,0,1,2,1,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,533.0,0,0.2085244953632354,1.0,0.1753694489598274,5.0,3.0,4.0,0.0,0.0,0.2085244953632354,1.8715934120118616,1.4876995496451857,4000000
Jackson Irvine,au AUS,MF,St. Pauli,de Bundesliga,31,1993,29.0,56,28,24,26,6,25,45,55.6,20,27,5,22,36,92,63,2,684,969,70.6,10496,3807,369,467,79.0,254,353,72.0,34,70,48.6,6,3.9,2.5,+2.1,32,93,12,2,117,56,1.93,48,0,0,4,1,3,5,0.17,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,2610.0,0,3.682750564068556,6.0,4.798954357858747,41.0,33.0,2.0,0.0,0.0,3.682750564068556,9.905083059333265,4.877807507291436,2000000
Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,24,1999,30.6,12,5,2,3,7,5,15,33.3,10,18,2,16,3,15,17,1,519,689,75.3,7434,1644,306,364,84.1,163,207,78.7,26,42,61.9,6,4.3,3.6,+1.7,41,35,31,1,88,92,3.01,70,1,8,9,2,2,14,0.46,11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,2822.0,23,22.356988068670034,6.0,5.44870379474014,99.0,42.0,1.0,0.0,19.0,19.312312599271536,26.209551103413105,3.579237926751375,22250000
